"k","Czulosc_TRAIN","Specyficznosc_TRAIN","Jakosc_TRAIN","Czulosc_TEST","Specyficznosc_TEST","Jakosc_TEST"
2,0.602503412503412,1,0.775,0.647055167055167,0.664761904761905,0.6625
3,0.753478884376717,0.729571888993469,0.74375,0.620571095571096,0.668333333333333,0.625
4,0.779242424242424,0.734464219503152,0.75625,0.359020979020979,0.866666666666667,0.5125
5,0.704368497000076,0.783647275972081,0.740625,0.631783216783217,0.708333333333333,0.65
6,0.705405405405405,0.774074074074074,0.734375,0.644444444444444,0.614285714285714,0.625
7,0.64958503958504,0.837255717699266,0.734375,0.886984126984127,0.620952380952381,0.7625
8,0.691108994204969,0.763487179487179,0.721875,0.789285714285714,0.755555555555556,0.775
9,0.763008652853854,0.749496021220159,0.75625,0.739502164502164,0.772222222222222,0.75
10,0.741831710252763,0.767206322948258,0.75625,0.722405372405372,0.693253968253968,0.725
11,0.743848308554191,0.717366174055829,0.73125,0.737532467532467,0.886666666666667,0.8125
12,0.807920304205134,0.726829466829467,0.771875,0.744444444444444,0.771428571428571,0.75
13,0.793432906590801,0.695461945461945,0.753125,0.770555555555556,0.530952380952381,0.675
14,0.781460367930956,0.688729246487867,0.74375,0.668181818181818,0.872857142857143,0.7375
15,0.633588753588754,0.813786535303777,0.7125,0.534314574314574,0.758412698412698,0.6375
16,0.691036919272213,0.788726509760993,0.734375,0.595656565656566,0.85,0.6875
17,0.673660502607871,0.772364672364672,0.715625,0.492777777777778,0.879761904761905,0.6625
18,0.639872505270829,0.757336002328506,0.690625,0.685151515151515,0.84030303030303,0.75
19,0.637703197703198,0.770472541507024,0.69375,0.688600288600289,0.717460317460317,0.675
20,0.696741854636591,0.687192118226601,0.69375,0.475909090909091,0.975,0.6875
21,0.601445279866332,0.762163698370595,0.66875,0.624242424242424,0.875,0.7375
22,0.666131704459878,0.734749975439631,0.696875,0.837373737373737,0.557857142857143,0.675
23,0.688442650795592,0.736487867177522,0.7125,0.543795093795094,0.723650793650794,0.625
24,0.596696696696697,0.745502645502646,0.659375,0.706666666666667,0.904761904761905,0.7875
25,0.7246779109937,0.651871500147362,0.690625,0.603787878787879,0.802857142857143,0.6875
26,0.689687198510728,0.694063492063492,0.690625,0.71952380952381,0.744444444444444,0.725
27,0.66143799301694,0.734978402720338,0.696875,0.617948717948718,0.876190476190476,0.75
28,0.558104495472917,0.811487937350006,0.665625,0.73030303030303,0.802857142857143,0.75
29,0.56310149073307,0.855381569898811,0.684375,0.823232323232323,0.565873015873016,0.6875
30,0.625139425139425,0.788477202770862,0.696875,0.661616161616162,0.723809523809524,0.7
31,0.676677916306399,0.8002035002035,0.728125,0.741111111111111,0.647619047619048,0.6875
32,0.585995495593019,0.776878595717305,0.66875,0.657814407814408,0.854761904761905,0.7375
33,0.638893752051647,0.776714692714693,0.69375,0.505714285714286,0.853968253968254,0.675
34,0.616227824463119,0.752253378805103,0.675,0.667575757575758,0.791666666666667,0.7125
35,0.614264264264264,0.796560846560847,0.69375,0.797777777777778,0.671428571428571,0.7375
36,0.631988304093567,0.777605153467222,0.696875,0.735,0.711666666666667,0.7375
37,0.701133342811965,0.708751782838739,0.703125,0.627142857142857,0.829004329004329,0.6875
38,0.605791983934399,0.787454563316632,0.684375,0.865909090909091,0.570714285714286,0.75
39,0.565461067163854,0.787709401709402,0.659375,0.756666666666667,0.836111111111111,0.75
40,0.534919915762625,0.851137123745819,0.66875,0.813333333333333,0.628787878787879,0.75
41,0.629803669215434,0.804475460682357,0.70625,0.730909090909091,0.707142857142857,0.7125
42,0.649459459459459,0.74481017067224,0.69375,0.710606060606061,0.849047619047619,0.775
43,0.57031768610716,0.858587708587709,0.690625,0.872777777777778,0.59047619047619,0.7375
44,0.688842688842689,0.724444444444444,0.703125,0.698412698412698,0.784126984126984,0.7375
45,0.636725366481464,0.762971292131712,0.6875,0.653535353535354,0.829437229437229,0.725
46,0.576395891690009,0.832430213464696,0.690625,0.563636363636364,0.933333333333333,0.6875
47,0.616311021837338,0.792944591806661,0.690625,0.725468975468975,0.878412698412698,0.8125
48,0.624547799981237,0.781501240694789,0.696875,0.802564102564103,0.531666666666667,0.7125
49,0.495371120107962,0.88107967032967,0.659375,0.656904761904762,0.729444444444444,0.7
50,0.569099759099759,0.80664367816092,0.66875,0.528773448773449,0.871428571428571,0.675
