"h1","h2","lr","iter","MAE_TRAIN","MSE_TRAIN","MAPE_TRAIN","MAE_TEST","MSE_TEST","MAPE_TEST"
4,4,0.001,10000,0.642850300499829,0.763993515662283,0.740030636279426,0.581219968457592,0.59341617797199,0.756552932240325
5,5,0.001,10000,0.580553464229176,0.668063667416467,0.647292462395398,0.591647279125618,0.592965795334203,0.769544153993489
6,6,0.001,10000,0.62101310891261,0.71773381979672,0.746712824005737,0.738184016591991,0.902005436279062,0.708256878516332
7,7,0.001,10000,0.582656871717869,0.619674915061822,0.718290475613455,0.763589779678258,1.13871218723332,0.71479009649629
8,8,0.001,10000,0.510405879698652,0.502565774556657,0.625208227715862,0.718891119294571,1.16817656994008,0.583933665659154
4,4,0.001,20000,0.47114955708521,0.552088524010388,0.467265094789153,0.39744584524604,0.408285870032648,0.434466785926542
5,5,0.001,20000,0.4839926979552,0.565773468068114,0.494193059000416,0.472990546631748,0.460282843291497,0.574093491957596
6,6,0.001,20000,0.478010249175442,0.551403941872981,0.527212951132622,0.635045892995113,0.78709182909459,0.540555008365538
7,7,0.001,20000,0.447353877667564,0.463061570046145,0.497165415212646,0.583655854016746,0.909301692449335,0.467358917677878
8,8,0.001,20000,0.39551313038626,0.372008728135147,0.428054852139158,0.555774805573806,0.986620991765746,0.34196010596622
4,4,0.001,50000,0.407873535018739,0.482484903525791,0.368113012325696,0.353472824433652,0.362582158554053,0.354037826101121
5,5,0.001,50000,0.425231890181242,0.480994177372559,0.415577273713167,0.410086797916682,0.339184681403639,0.487980772084073
6,6,0.001,50000,0.401804116454042,0.450901756297571,0.398255176309252,0.575157446785514,0.693638769977431,0.434988879617085
7,7,0.001,50000,0.384278463678281,0.368591458284967,0.398711498277698,0.490561583896533,0.838768514529271,0.346238152236481
8,8,0.001,50000,0.35405902668765,0.328200765786703,0.362239349490738,0.525900491033442,1.00415996652182,0.283982769960437
4,4,0.001,80000,0.39329814866804,0.46594705297532,0.35068592121533,0.342972813002622,0.355863930237137,0.340789178209618
5,5,0.001,80000,0.368151120410186,0.334133539136213,0.386540111786037,0.365076064565293,0.263326909728173,0.411924707624085
6,6,0.001,80000,0.360665555263482,0.370050979589201,0.364266441583161,0.51885436202095,0.579643399819114,0.384438186767996
7,7,0.001,80000,0.352389979661784,0.331291278741486,0.353293683879021,0.453921129896783,0.790719099152518,0.313473598669464
8,8,0.001,80000,0.336266090083269,0.308560854669682,0.339949071321697,0.504236007314853,0.963885257172321,0.272623968649535
4,4,0.001,1e+05,0.385280932587758,0.449129100265951,0.345025636799917,0.337094030215719,0.349378627822828,0.339821081516507
5,5,0.001,1e+05,0.352664060511343,0.307450464843138,0.365313116634395,0.342083473110922,0.235635861928371,0.37576997942431
6,6,0.001,1e+05,0.331429317205438,0.292159173280005,0.357871064532508,0.446909598863323,0.443679930437333,0.368058551197833
7,7,0.001,1e+05,0.33731887446525,0.311514883003927,0.339776488218464,0.431981147410504,0.743311261607307,0.288273729672689
8,8,0.001,1e+05,0.326085538018092,0.287561708752328,0.33139912652362,0.477588139392052,0.873583690525708,0.266955004375105
