"k","MAE_TRAIN","MSE_TRAIN","MAPE_TRAIN","MAE_TEST","MSE_TEST","MAPE_TEST"
2,0.190744052835821,0.178946116839216,0.166615382803224,0.24831514969697,0.22031577575085,0.278174503290188
3,0.21655338818408,0.197033595889808,0.20601148445583,0.328095794525253,0.367066304973397,0.286386424923481
4,0.249311459014925,0.237254200551881,0.235258549619348,0.425900125015152,0.45766008037102,0.432511692232682
5,0.306708021928358,0.309098187528118,0.318056211731272,0.466539297721212,0.686028500769692,0.491509250871768
6,0.362320085218905,0.359634498013935,0.428464482500473,0.486174866606061,0.747613356590915,0.57234847940578
7,0.376539686091684,0.389914049264193,0.437803396957016,0.451159541645022,0.68530511052776,0.421538462852476
8,0.38538946238806,0.396304446290604,0.445254308490424,0.437836061704545,0.543224533343157,0.538546176151078
9,0.396561872701493,0.433681677692251,0.449128347525673,0.483445648228956,0.674253583100638,0.601751907592442
10,0.4401977094,0.550107106523406,0.460332281370451,0.429851559727273,0.379623065069473,0.563200584911282
11,0.449139314502035,0.571353916088444,0.495214456305344,0.450166346573003,0.420344207267602,0.656181528863862
12,0.445116792949005,0.533460762847803,0.496055031509687,0.485809243121212,0.769786984891698,0.591088353078664
13,0.462457984205511,0.58271630192278,0.510104624053903,0.601287193641026,1.09825651304271,0.488815715483564
14,0.5087544249371,0.652402277395748,0.562129285395004,0.513832191103896,0.6734230675243,0.75249938825927
15,0.519739210344279,0.660818816392872,0.625836919431886,0.588974667878788,0.956152825063012,0.646691128708242
16,0.527696900862873,0.722567216187309,0.610566643972884,0.618666105375,0.864898873440494,0.77250926304761
17,0.52927769803863,0.646288044007231,0.652760929974803,0.699244466559715,1.36499127789129,0.773262485540213
18,0.549873775641791,0.700549858964405,0.676840902030291,0.658707098727273,1.18843135193863,0.708645610266092
19,0.588901873327573,0.850951698277271,0.703045344175672,0.619613820223285,0.915335669196744,0.5943092901364
20,0.590539846749254,0.847863707599469,0.703102068364994,0.704684305175758,1.2437691043056,0.724022851561188
21,0.60986281106823,0.881914072083336,0.7140541447496,0.668104390167388,1.01688795359359,0.748208868802424
22,0.60765352689213,0.911689017572724,0.702003400093728,0.681910091707989,1.00522347195297,0.765810793454699
23,0.638782213822842,0.901305187595925,0.762122852519474,0.567300428640316,0.830990073253014,0.730258162589977
24,0.620298012465174,0.901077394714718,0.716959591735521,0.7057665635,1.15552329069908,0.844492538361753
25,0.611984725905672,0.878021021574922,0.713421523349135,0.796995842649697,1.39371535012899,0.85490027135331
26,0.636768290991389,0.931700791170592,0.759460468955175,0.689244939482518,1.1524391485395,0.656362010058957
27,0.676310142181868,1.04516322022603,0.778507572679438,0.62287534335578,0.708490519533466,0.952952378404637
28,0.672442825048507,1.05219552115468,0.788847121483115,0.601897613525974,0.829241534396432,0.669117059152517
29,0.642887580759135,1.00825842435349,0.766142585781858,0.793709734796238,1.4293995238854,0.722944222029544
30,0.691470966715423,1.05507046942682,0.837845027209039,0.673498550014141,1.06914509539243,0.768604289725363
31,0.69205152835195,1.0424250114144,0.838543733865041,0.751941570070381,1.32758599024384,0.889322321272446
32,0.680030733020522,1.0802850978279,0.813889386272729,0.777886769193182,1.41540073248723,0.753850682723496
33,0.685473970713704,1.06494597675972,0.821388462394769,0.837902526216713,1.65346791193898,0.910445738104091
34,0.741308344031607,1.19026999516883,0.88985884415635,0.658554147942959,0.920585390201545,0.854709599455543
35,0.719817506586354,1.15260229089595,0.893103556618966,0.776183172110823,1.40573556084126,0.81727996370453
36,0.757538321349917,1.2453303634676,0.906763213382029,0.624568045981482,0.936633529398333,0.771899313796352
37,0.767799034535297,1.26695312449801,0.899752402866984,0.696022085123669,1.03626131253862,0.961450393089634
38,0.77009067354674,1.28107428206428,0.9096370525765,0.699719587894737,1.00376256335822,0.954890085232462
39,0.744338257514734,1.22200400782909,0.894152741466483,0.773778995754468,1.50165815142984,0.862387872641346
40,0.769370709583582,1.30789640232152,0.92435303258129,0.826958205078788,1.2915239262745,0.962248081252121
41,0.749711261919185,1.22418544643512,0.896963041829451,0.84698188255728,1.72704420690588,1.02015152951598
42,0.795823717469083,1.36068886279922,0.941577097521986,0.73305214602886,1.12941892362824,0.977327322623285
43,0.783591372111073,1.29928689934703,0.942512882461416,0.770703752342495,1.45928830218134,0.86911077194744
44,0.823276209202849,1.3965583307472,0.974811865745541,0.748944563944904,1.12626967883602,1.06601081329958
45,0.788335729471642,1.29431823341022,0.956809716642991,0.852911479657912,1.67238761335513,0.986341162545798
46,0.840936256094419,1.43324935354736,1.01770529346085,0.731196965959157,1.12511792803235,0.988230642489543
47,0.80747475362115,1.36728594064447,0.98428524197114,0.842985187703417,1.56136883091213,0.993028085371635
48,0.846127106437189,1.42913281990308,1.03849645382675,0.769716981448232,1.28309060450259,0.937483939248676
49,0.833157142724337,1.4264567571216,0.97867106882183,0.878331975835498,1.55831813390998,1.21902288367074
50,0.786384928253134,1.39338821850084,0.971342229344464,0.933650165369697,1.83230229688669,0.831379214150449
